,Hotel_Name,Hotel_Address,lat,lng,Reviewer_Average_Score,Total_No_Of_Reviewers,Non_Reviewer_Average_Score
315554,Medinaceli,Duc De Medinaceli 8 Ciutat Vella 08002 Barcelona Spain,41.3781685,2.1786627,7.72804878049,82,7.92826086957
316447,Hotel Casa Camper,Elisabets 11 Ciutat Vella 08001 Barcelona Spain,41.3832414,2.1685298,9.71893687708,301,9.29137931034
318744,H10 Art Gallery 4 Sup,Enric Granados 62 64 Eixample 08008 Barcelona Spain,41.392018,2.157066,8.92600619195,323,8.60432692308
319067,Hotel Granados 83,Enrique Granados 83 Eixample 08008 Barcelona Spain,41.391843,2.156844,8.82592592593,135,8.75731707317
319530,NH Hesperia Barcelona del Mar,Espronceda 6 Sant Mart 08005 Barcelona Spain,41.4014399,2.2100745,8.20647482014,139,8.18815789474
327305,Hotel Well and Come,Girona 158 Eixample 08037 Barcelona Spain,41.3991773,2.1656134,9.052,375,8.87888198758
327773,Ayre Hotel Gran V a,Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,41.3732462,2.1474351,8.77691342535,797,8.84705882353
328570,Sunotel Central,Gran V a De Les Corts Catalanes 570 Eixample 08011 Barcelona Spain,41.3841429,2.1616896,8.2296875,640,8.14153846154
329210,Silken Gran Hotel Havana,Gran V a de Les Corts Catalanes 647 Eixample 08010 Barcelona Spain,41.3927101,2.1722139,8.73333333333,285,8.07371794872
329495,Cotton House Hotel Autograph Collection,Gran V a de les Corts Catalanes 670 Eixample 08010 Barcelona Spain,41.3915897,2.1720108,8.36458333333,48,9.41470588235
329543,Hotel Vueling Bcn by HC,Gran Via 550 Eixample 08011 Barcelona Spain,41.3831641,2.1604736,9.00124223602,322,8.4119760479
329865,H10 Casanova,Gran Via 559 Eixample 08012 Barcelona Spain,41.3842608,2.1609471,8.68616352201,159,8.41232876712
330024,Avenida Palace,Gran Via 605 Eixample 08007 Barcelona Spain,41.3891168,2.1671986,8.39058240397,807,8.4221574344
330831,Acta Atrium Palace,Gran Via Corts Catalanes 656 Eixample 08010 Barcelona Spain,41.390913,2.1706981,8.65043668122,458,8.18394495413
331289,Hotel Indigo Barcelona Plaza Catalunya,Gran Via de las Corts Catalanes 629 Eixample 08010 Barcelona Spain,41.391362,2.1700953,8.53759398496,133,8.72388059701
331422,Catalonia Passeig de Gr cia 4 Sup,Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,41.3901396,2.1696699,9.2388,500,9.12451361868
331922,Hotel Palace GL,Gran Via de les Corts Catalanes 668 Eixample 08010 Barcelona Spain,41.3916258,2.1716378,9.47927170868,357,9.25487179487
332279,Grupotel Gran Via 678,Gran Via de les Corts Catalanes 678 Eixample 08010 Barcelona Spain,41.392344,2.1729157,8.44588235294,340,8.30126582278
332619,Hotel Casa Bonay,Gran Via de les Corts Catalanes 700 Eixample 08010 Barcelona Spain,41.3935967,2.1742718,8.93166666667,360,8.27230769231
335562,Pol Grace Hotel,Guillem Tell 49 Sarri St Gervasi 08006 Barcelona Spain,41.4017465,2.1477365,8.79225,400,8.81631578947
348666,Hotel G tico,Jaime I 14 Ciutat Vella 08002 Barcelona Spain,41.3835584,2.178311,8.092,25,8.38
349369,Gran Hotel Barcino,Jaume I 6 Ciutat Vella 08002 Barcelona Spain,41.3830582,2.1778267,6.52073170732,82,8.31
349451,Aparthotel Atenea Barcelona,Joan G ell 207 211 Les Corts 08028 Barcelona Spain,41.3862689,2.1291786,8.26460674157,178,7.372
352164,Vincci Bit,Josep Pla 69 Sant Mart 08019 Barcelona Spain,41.4114188,2.211756,8.37518248175,411,8.725
359910,Hotel Bagu s,La Rambla 105 Ciutat Vella 08002 Barcelona Spain,41.3827894,2.1715636,8.91344537815,119,8.87894736842
360029,Hotel 1898,La Rambla 109 Ciutat Vella 08002 Barcelona Spain,41.3834673,2.1712016,9.23819444444,432,9.12533936652
360461,Hotel Serhs Rivoli Rambla,La Rambla 128 Ciutat Vella 08002 Barcelona Spain,41.3843222,2.1712893,7.99243697479,357,8.26991150442
360818,Eurostars Ramblas,La Rambla 22 24 Ciutat Vella 08002 Barcelona Spain,41.3780983,2.1762005,8.27419354839,372,8.07623318386
367456,Royal Ramblas,Las Ramblas 117 Ciutat Vella 08002 Barcelona Spain,41.3842838,2.1707092,8.24889196676,722,8.66289156627
370265,Ilunion Bel Art,Lepanto 406 Horta Guinard 08025 Barcelona Spain,41.4101934,2.1695574,8.134,50,7.56571428571
371929,Ofelias Hotel 4 Sup,Llan 24 Eixample 08015 Barcelona Spain,41.3957584,2.1822402,8.93333333333,81,8.09056603774
372010,Vincci Maritimo,Llull 340 Sant Mart 08019 Barcelona Spain,41.4082054,2.2124626,8.21078717201,343,8.48106508876
372586,The Level at Melia Barcelona Sky,Lope de Vega 141 Sant Mart 08005 Barcelona Spain,41.406146,2.2008636,8.44090909091,22,8.81875
372608,Eurohotel Diagonal Port,Lope de Vega 4 Sant Mart 08005 Barcelona Spain,41.4006708,2.2087844,6.80961538462,52,7.4125
372660,Hotel Derby,Loreto 21 25 Les Corts 08029 Barcelona Spain,41.3897735,2.1419762,8.08933333333,75,7.91184210526
372735,Hotel Gran Derby Suites,Loreto 28 Les Corts 08029 Barcelona Spain,41.3900104,2.1422396,8.284,75,8.99090909091
372994,Catalonia Magdalenes,Magdalenes 13 15 Ciutat Vella 08002 Barcelona Spain,41.3861283,2.1745291,9.561414791,311,8.96724137931
373305,Expo Hotel Barcelona,Mallorca 1 23 Sants Montju c 08014 Barcelona Spain,41.3792053,2.1427989,7.76534161491,805,7.25871794872
374110,The Corner Hotel,Mallorca 178 Eixample 08036 Barcelona Spain,41.3890578,2.1565948,9.42038834951,103,9.06603773585
374213,Best Western Premier Hotel Dante,Mallorca 181 Eixample 08036 Barcelona Spain,41.3894195,2.1564886,8.47788944724,199,8.2652173913
374412,Hotel Balmes,Mallorca 216 Eixample 08008 Barcelona Spain,41.3910621,2.1593373,8.57428571429,210,8.34081632653
374622,Alexandra Barcelona A DoubleTree by Hilton,Mallorca 251 Eixample 08008 Barcelona Spain,41.3931918,2.16152,8.02727272727,77,8.75652173913
374699,Alma Barcelona GL,Mallorca 269 271 Eixample 08008 Barcelona Spain,41.3945074,2.1632659,9.34301675978,179,8.90574712644
374878,Room Mate Carla,Mallorca 288 Eixample 08037 Barcelona Spain,41.3962658,2.1662153,8.98340611354,229,8.74344262295
376416,Upper Diagonal,Manuel Girona 7 21 Sarri St Gervasi 08034 Barcelona Spain,41.39038,2.121,8.86449275362,138,8.66911764706
378118,Aparthotel Mariano Cubi Barcelona,Mariano Cubi 62 64 Sarri St Gervasi 08006 Barcelona Spain,41.3982129,2.1494179,8.20879120879,91,8.466
378209,Hotel Arts Barcelona,Marina 19 21 08005 Barcelona Spain,41.3865424,2.1969665,8.64487179487,312,9.02100456621
381366,Eurostars Grand Marina Hotel GL,Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,41.371308,2.181698,8.44805914972,1082,8.58438438438
382536,Guitart Grand Passage,Muntaner 212 Eixample 08036 Barcelona Spain,41.3936071,2.1504611,7.9962406015,133,8.2746835443
382669,Hotel Rekord,Muntaner 352 Sarri St Gervasi 08021 Barcelona Spain,41.3985449,2.1438237,7.96379310345,58,8.38214285714
382727,Catalonia Barcelona 505,Muntaner 505 Sarri St Gervasi 08022 Barcelona Spain,41.4034965,2.1370426,8.19,130,8.21666666667
385039,Acta CITY47,Nicaragua 47 Sants Montju c 08029 Barcelona Spain,41.383515,2.1407396,8.18503937008,381,7.94644549763
389263,Onix Liceo,Nou de la Rambla 36 Ciutat Vella 08001 Barcelona Spain,41.3780229,2.1730782,8.14166666667,240,7.99795918367
389503,Abba Sants,Numancia 32 Sants Montju c 08029 Barcelona Spain,41.3825777,2.1400103,8.36833333333,120,7.93066666667
389623,NH Sants Barcelona,Numancia 74 Les Corts 08029 Barcelona Spain,41.384591,2.1378107,8.09158878505,107,8.38709677419
393918,Hotel Grums Barcelona,Palaud ries 26 Sants Montju c 08004 Barcelona Spain,41.3727844,2.1721134,8.3479245283,265,8.21858974359
394183,Hotel Spa Villa Olimpica Suites,Pallars 121 125 Sant Mart 08018 Barcelona Spain,41.3971434,2.1921947,7.92331406551,519,8.13049180328
394702,Sall s Hotel Pere IV,Pallars 128 130 Sant Mart 08018 Barcelona Spain,41.3969273,2.192267,7.93850687623,509,7.82222222222
395784,Silken Concordia,Paral lel 115 Sants Montju c 08004 Barcelona Spain,41.3747873,2.1611846,8.22151898734,158,8.16909090909
396824,H10 Port Vell 4 Sup,Pas de Sota Muralla 9 Ciutat Vella 08003 Barcelona Spain,41.3815625,2.1838458,9.29164345404,359,8.97465753425
397183,Hotel Margot House,Paseo de Gracia 46 Eixample 08007 Barcelona Spain,41.3918805,2.1660363,9.31511627907,86,9.57380952381
397269,Condes de Barcelona,Paseo de Gracia 73 Eixample 08008 Barcelona Spain,41.3935497,2.1627098,8.66121673004,263,8.76257668712
397532,Monument Hotel,Paseo de Gracia 75 Eixample 08008 Barcelona Spain,41.3939082,2.1622556,9.38132780083,241,9.15151515152
397773,Occidental Atenea Mar Adults Only,Paseo Garc a Faria 37 47 Sant Mart 08019 Barcelona Spain,41.4023621,2.2119049,8.1685300207,483,8.26307053942
398256,Hotel Front Maritim,Paseo Garc a I Faria 69 71 Sant Mart 08019 Barcelona Spain,41.4037972,2.213767,7.32426470588,136,7.7950617284
398392,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Paseo Taulat 278 Sant Mart 08019 Barcelona Spain,41.4101306,2.2188047,8.00138408304,289,8.278125
398681,Duquesa de Cardona,Passeig Colom 12 Ciutat Vella 08002 Barcelona Spain,41.3798658,2.1805271,9.02462121212,264,8.6891025641
398945,Hotel The Serras,Passeig de Colom 9 Ciutat Vella 08002 Barcelona Spain,41.3801815,2.180688,9.6234741784,213,9.55098039216
399158,Eurostars Bcn Design,Passeig de Gr cia 29 Eixample 08007 Barcelona Spain,41.3907208,2.1660732,8.23970588235,272,8.39534883721
399430,Mandarin Oriental Barcelona,Passeig de Gr cia 38 40 Eixample 08007 Barcelona Spain,41.391393,2.1668467,9.33636363636,77,8.41136363636
399507,Hotel Casa Fuster G L Monumento,Passeig de Gracia 132 Gr cia 08008 Barcelona Spain,41.3980162,2.1581229,9.02044444444,225,8.95445544554
399732,Sixtytwo Hotel,Passeig de Gracia 62 Eixample 08007 Barcelona Spain,41.3930168,2.1646148,9.31244635193,233,8.99689922481
399965,Majestic Hotel Spa Barcelona GL,Passeig de Gracia 68 Eixample 08007 Barcelona Spain,41.3935179,2.1639813,8.81274725275,455,9.0178041543
400420,Royal Passeig de Gracia,Passeig de Gracia 84 Eixample 08008 Barcelona Spain,41.3946775,2.162638,8.63638743455,764,8.52926208651
401184,K K Hotel Picasso,Passeig de Picasso 26 30 Ciutat Vella 08003 Barcelona Spain,41.3866227,2.1840722,9.15529953917,434,8.37488151659
401618,AC Hotel Sants a Marriott Lifestyle Hotel,Passeig de Sant Antoni 36 40 Sants Montju c 08014 Barcelona Spain,41.3775577,2.1384686,7.92197802198,91,8.16904761905
401709,Hilton Diagonal Mar Barcelona,Passeig del Taulat 262 264 Sant Mart 08019 Barcelona Spain,41.4084334,2.2178205,7.68785714286,140,8.31830985915
401983,Renaissance Barcelona Hotel,Pau Clar s 122 Eixample 08009 Barcelona Spain,,,7.05151515152,33,8.505
402016,Claris Hotel Spa GL,Pau Claris 150 Eixample 08009 Barcelona Spain,41.3944848,2.1651078,8.69298245614,228,8.46233766234
402244,H10 Casa Mimosa 4 Sup,Pau Claris 179 Eixample 08037 Barcelona Spain,41.3962106,2.1621171,9.66034482759,116,9.475
402360,Catalonia Ramblas 4 Sup,Pelai 28 Ciutat Vella 08002 Barcelona Spain,41.3856387,2.1668274,8.66831460674,890,8.48571428571
403250,Hotel Midmost,Pelayo 14 Ciutat Vella 08001 Barcelona Spain,41.3856173,2.1659487,9.33518518519,108,8.99722222222
411149,Silken Ramblas,Pintor Fortuny 13 Ciutat Vella 08001 Barcelona Spain,41.3830117,2.1700699,7.80925,400,8.0972826087
411549,Duquesa Suites Barcelona,Pla a Antonio L pez 5 Ciutat Vella 08002 Barcelona Spain,41.3810421,2.1814294,9.20391459075,281,8.85042735043
411830,Hotel SB Diagonal Zero Barcelona 4 Sup,Pla a de Llevant s n Sant Mart 08019 Barcelona Spain,41.4111652,2.2192012,8.14125295508,846,8.3018442623
412676,Hotel DO Pla a Reial G L ,Pla a Reial 1 Ciutat Vella 08001 Barcelona Spain,41.3799929,2.1748256,9.35742574257,101,9.155
412777,W Barcelona,Pla a Rosa dels Vents 1 Passeig Joan de Borbo Ciutat Vella 08039 Barcelona Spain,41.368437,2.1901534,8.41234782609,575,8.65180722892
413352,H10 Urquinaona Plaza,Pla a Urquinaona 2 Eixample 08010 Barcelona Spain,41.3892128,2.1726015,9.1868852459,488,8.89317073171
414166,Hotel Miramar Barcelona GL,Plaza Carlos Iba ez 3 Sants Montju c 08038 Barcelona Spain,41.3703041,2.17141,8.68820960699,229,8.7247706422
414395,Olivia Plaza Hotel,Plaza de Catalunya 19 Ciutat Vella 08002 Barcelona Spain,41.3861459,2.1711594,9.3915912031,773,9.07523809524
